date,region,category,product,sales,profit,orders,customer_rating
2024-05-16,East,Electronics,Laptop,3860.22,736.76,6,4.21
2025-07-08,South,Fashion,Watch,5036.24,1414.12,22,3.85
2023-03-30,East,Home,Lamp,5890.32,1659.14,36,3.33
2024-04-21,North,Office,Printer,10604.88,2080.52,24,3.33
2023-12-01,South,Office,Mouse,10462.03,2624.71,21,3.68
2024-03-11,East,Office,Mouse,7640.65,1886.08,17,4.25
2025-11-09,South,Home,Blender,1062.73,159.58,11,4.15
2024-06-30,North,Fashion,Sneakers,2741.86,822.82,11,3.52
2024-02-12,Central,Electronics,Tablet,493.0,94.59,1,4.65
2023-06-11,South,Office,Desk,4688.01,1280.25,9,4.94
2025-03-28,East,Fashion,Jacket,1308.96,334.09,16,3.33
2023-03-06,North,Electronics,Smartphone,28213.76,4110.98,32,4.61
2023-07-18,North,Fitness,Dumbbells,3567.92,843.34,4,4.75
2025-07-07,South,Office,Chair,7325.44,1170.61,16,4.37
2024-04-29,North,Fashion,Sneakers,3454.62,1272.14,26,4.61
2025-09-23,Central,Home,Air Purifier,12844.0,2442.63,38,4.85
2025-11-06,North,Fashion,Jacket,1067.9,241.73,16,3.35
2024-10-09,Central,Fashion,Jeans,2414.0,821.48,17,3.33
2023-07-24,Central,Fitness,Protein Mixer,9549.0,2212.83,9,4.7
2023-01-17,Central,Home,Lamp,12138.0,2773.72,17,4.49
2025-09-27,Central,Office,Printer,276.0,69.07,3,4.19
2023-08-18,North,Fitness,Protein Mixer,3835.72,886.25,38,4.95
2024-05-26,South,Electronics,Tablet,3783.0,874.22,10,3.94
2024-05-23,West,Office,Printer,639.45,114.41,3,4.63
2024-01-31,North,Office,Chair,8907.44,1798.93,23,3.41
2024-06-27,Central,Home,Blender,13545.0,2146.93,21,3.28
2024-02-08,Central,Fitness,Treadmill,14721.0,3694.93,21,3.79
2024-01-28,South,Home,Lamp,26127.92,3659.61,37,4.24
2025-06-24,West,Home,Air Purifier,10354.05,2004.86,19,4.41
2023-02-20,South,Office,Chair,8439.0,1956.75,30,3.64
2024-03-24,West,Electronics,Laptop,9072.0,2087.43,16,4.21
2025-10-30,Central,Home,Air Purifier,3349.0,617.45,17,3.63
2024-04-25,East,Fitness,Treadmill,10280.79,2158.49,9,3.8
2024-02-28,North,Fitness,Exercise Bike,1673.75,392.66,25,4.7
2024-03-27,Central,Fashion,Jeans,536.0,190.0,2,4.86
2025-03-17,North,Fashion,Jeans,2750.1,753.53,30,4.78
2023-06-17,East,Home,Air Purifier,8893.05,2172.4,15,3.56
2024-05-03,South,Electronics,Monitor,5948.04,1045.69,14,4.49
2023-02-22,North,Office,Printer,16595.36,3842.51,38,4.28
2024-12-12,North,Electronics,Monitor,51841.55,10249.34,33,3.85
2023-12-27,West,Fitness,Dumbbells,42600.6,12747.8,30,3.36
2025-02-15,West,Fitness,Dumbbells,23184.0,7030.43,32,3.7
2023-06-25,South,Electronics,Monitor,20267.18,4002.94,31,4.45
2025-08-27,East,Home,Lamp,8599.14,1625.75,22,3.77
2024-03-19,South,Fashion,Jacket,10895.04,2709.71,39,3.23
2023-04-04,East,Fashion,Jacket,11182.72,3069.8,32,4.94
2023-05-14,North,Home,Air Purifier,453.2,132.27,4,4.2
2024-04-07,Central,Fitness,Protein Mixer,35378.0,9387.49,38,4.91
2023-06-16,East,Office,Chair,3166.35,660.39,11,4.47
2024-06-25,South,Fitness,Treadmill,3783.0,718.76,15,3.75
2023-09-12,West,Fashion,Backpack,5509.35,1859.55,33,4.29
2023-02-12,South,Electronics,Laptop,20563.03,4728.03,29,3.36
2024-10-19,East,Home,Air Purifier,7138.68,1868.05,19,3.65
2023-01-03,Central,Electronics,Headphones,43894.0,7172.87,34,4.19
2023-09-06,West,Home,Air Purifier,28765.8,5061.4,36,4.9
2025-11-08,East,Office,Keyboard,16907.4,3379.22,30,4.76
2025-11-05,East,Home,Air Purifier,14922.14,2443.88,38,4.19
2024-10-21,West,Fashion,Watch,3940.65,1110.37,27,4.39
2023-09-16,North,Office,Keyboard,13272.58,2017.37,34,3.33
2025-03-25,Central,Home,Coffee Machine,15225.0,3320.14,21,3.62
2025-06-07,North,Home,Blender,1007.34,188.31,2,4.16
2023-12-25,South,Fashion,Jacket,12119.57,2684.53,38,4.65
2023-06-01,South,Home,Lamp,17273.76,3253.33,28,3.39
2024-08-28,East,Fitness,Protein Mixer,843.35,157.59,1,4.09
2024-12-22,Central,Home,Blender,5628.0,1066.11,7,4.52
2025-04-30,East,Electronics,Tablet,18509.26,3335.65,34,4.94
2025-08-17,North,Home,Coffee Machine,6575.52,1198.81,24,4.55
2025-01-30,West,Home,Lamp,19542.6,4761.05,36,4.46
2023-04-03,South,Fitness,Treadmill,4066.24,1113.61,16,4.9
2025-04-29,South,Fitness,Protein Mixer,2502.6,533.19,3,4.97
2023-05-05,East,Home,Lamp,1387.74,326.87,6,3.64
2023-05-21,South,Office,Mouse,5377.68,1357.99,22,4.98
2023-08-14,South,Fashion,Backpack,5197.26,1580.87,38,4.54
2025-11-17,East,Fitness,Exercise Bike,51194.88,12952.47,40,4.94
2025-05-23,West,Electronics,Headphones,2526.3,400.81,6,4.48
2024-08-26,Central,Fitness,Protein Mixer,7248.0,2036.09,8,4.01
2025-07-17,East,Office,Keyboard,13150.2,2408.27,28,3.36
2023-07-17,West,Electronics,Laptop,35645.4,6680.02,36,3.96
2024-10-01,Central,Electronics,Tablet,9000.0,1789.28,10,4.57
2023-02-23,West,Fashion,Jacket,3339.0,1085.76,20,3.33
2024-03-16,Central,Electronics,Laptop,22800.0,3588.64,24,3.48
2024-07-11,North,Fashion,Sneakers,6841.26,1815.12,27,4.42
2023-04-04,East,Fitness,Protein Mixer,1937.18,417.99,14,3.21
2025-02-17,South,Fitness,Dumbbells,5669.65,1385.47,5,3.76
2025-05-05,West,Fitness,Protein Mixer,773.85,238.94,11,4.72
2025-03-31,Central,Office,Keyboard,1800.0,309.34,15,4.83
2024-04-28,South,Home,Coffee Machine,11235.51,1708.43,39,4.04
2024-10-23,West,Fashion,Jeans,1757.7,529.37,31,3.76
2025-01-25,North,Fitness,Treadmill,8395.53,2441.88,39,4.01
2025-09-01,East,Fashion,Jacket,1599.84,533.1,22,4.98
2023-11-22,Central,Fashion,Jeans,6045.6,1648.94,22,4.2
2023-11-04,East,Fitness,Yoga Mat,7611.36,2004.12,20,3.76
2025-12-14,South,Fitness,Yoga Mat,21398.98,6147.11,24,5.0
2023-07-27,East,Office,Desk,13154.24,3030.0,22,4.45
2023-03-31,West,Fashion,Jacket,10374.0,2795.95,40,4.66
2025-06-21,East,Fitness,Dumbbells,28742.58,5730.57,27,4.35
2025-11-22,North,Home,Lamp,4301.28,903.25,29,4.01
2023-04-20,West,Home,Vacuum,2627.1,759.05,6,4.62
2025-08-25,East,Office,Desk,3151.2,561.02,6,3.96
2023-09-07,East,Home,Blender,2343.2,551.77,5,3.64
2023-01-04,West,Office,Printer,5052.6,814.12,12,4.11
2025-03-10,North,Fashion,Jeans,3694.61,1201.25,17,3.39
2023-04-01,South,Fashion,Backpack,7727.99,2266.07,31,3.73
2024-10-08,North,Electronics,Smartphone,14270.65,1775.19,17,4.38
2025-06-13,East,Home,Vacuum,13897.6,3718.53,32,3.96
2024-08-24,South,Fitness,Protein Mixer,13502.4,3269.57,20,4.51
2024-07-16,West,Home,Lamp,3846.15,1124.79,33,4.61
2024-04-28,North,Electronics,Smartphone,37358.1,5170.83,39,3.45
2024-07-24,East,Home,Air Purifier,2094.74,381.0,34,4.99
2023-09-09,South,Home,Air Purifier,2892.54,861.55,6,4.19
2023-12-23,South,Home,Coffee Machine,2765.66,546.89,9,4.97
2023-05-15,North,Office,Mouse,12431.07,3195.21,27,4.01
